time,input,output
0.000000,1.500000,-0.171653
0.010000,1.499970,0.157881
0.020000,1.499880,0.045489
0.030000,1.499729,-0.236492
0.040000,1.499516,-0.088517
0.050000,1.499240,0.265739
0.060000,1.498900,-0.377051
0.070000,1.498495,-0.058804
0.080000,1.498024,0.211901
0.090000,1.497486,-0.122228
0.100000,1.496880,-0.089103
0.110000,1.496206,0.007030
0.120000,1.495461,0.261921
0.130000,1.494646,-0.070463
0.140000,1.493759,-0.034866
0.150000,1.492800,-0.028235
0.160000,1.491767,0.394665
0.170000,1.490659,0.397397
0.180000,1.489475,0.216469
0.190000,1.488215,0.125171
0.200000,1.486878,0.187407
0.210000,1.485462,0.313543
0.220000,1.483966,-0.062807
0.230000,1.482390,0.278704
0.240000,1.480732,-0.097540
0.250000,1.478992,0.008100
0.260000,1.477169,0.260877
0.270000,1.475261,-0.099641
0.280000,1.473268,0.113193
0.290000,1.471189,0.008452
0.300000,1.469022,0.113936
0.310000,1.466767,-0.278225
0.320000,1.464423,-0.105645
0.330000,1.461989,0.074253
0.340000,1.459464,0.342275
0.350000,1.456846,0.179152
0.360000,1.454136,0.218286
0.370000,1.451332,0.338134
0.380000,1.448433,0.101978
0.390000,1.445438,0.297861
0.400000,1.442346,0.137886
0.410000,1.439157,0.004503
0.420000,1.435869,0.228543
0.430000,1.432482,0.393981
0.440000,1.428994,0.369919
0.450000,1.425405,0.327861
0.460000,1.421713,0.721561
0.470000,1.417919,0.422358
0.480000,1.414021,0.525806
0.490000,1.410017,0.739123
0.500000,1.405908,0.195016
0.510000,1.401693,0.249964
0.520000,1.397370,0.704690
0.530000,1.392938,0.317762
0.540000,1.388398,0.463785
0.550000,1.383747,0.643490
0.560000,1.378986,0.630749
0.570000,1.374113,0.783058
0.580000,1.369127,0.757906
0.590000,1.364029,0.706510
0.600000,1.358816,0.431407
0.610000,1.353488,0.695575
0.620000,1.348045,0.636050
0.630000,1.342486,0.393268
0.640000,1.336809,0.843815
0.650000,1.331015,0.764245
0.660000,1.325102,0.660825
0.670000,1.319070,0.633929
0.680000,1.312918,0.498593
0.690000,1.306646,0.737006
0.700000,1.300252,0.797039
0.710000,1.293736,0.609182
0.720000,1.287098,0.942094
0.730000,1.280336,0.602688
0.740000,1.273451,0.458416
0.750000,1.266441,0.976535
0.760000,1.259307,0.766485
0.770000,1.252046,0.828545
0.780000,1.244660,0.734341
0.790000,1.237147,0.631208
0.800000,1.229507,1.102047
0.810000,1.221739,0.813168
0.820000,1.213843,1.203285
0.830000,1.205819,1.086949
0.840000,1.197665,0.928229
0.850000,1.189382,0.825046
0.860000,1.180969,0.899722
0.870000,1.172426,0.842654
0.880000,1.163753,1.383248
0.890000,1.154948,1.098156
0.900000,1.146012,1.272959
0.910000,1.136944,0.909675
0.920000,1.127745,1.157671
0.930000,1.118413,1.334287
0.940000,1.108949,1.114098
0.950000,1.099353,1.349126
0.960000,1.089623,1.033636
0.970000,1.079761,1.008566
0.980000,1.069766,1.303162
0.990000,1.059637,1.202236
1.000000,1.049375,1.382708
1.010000,1.038980,0.987442
1.020000,1.028451,1.431754
1.030000,1.017789,1.748899
1.040000,1.006993,1.353082
1.050000,0.996064,1.381243
1.060000,0.985002,1.423064
1.070000,0.973806,1.119057
1.080000,0.962477,1.499579
1.090000,0.951016,1.197048
1.100000,0.939421,1.401893
1.110000,0.927694,1.684599
1.120000,0.915834,1.390339
1.130000,0.903842,1.604276
1.140000,0.891719,1.703510
1.150000,0.879464,1.605736
1.160000,0.867077,1.363098
1.170000,0.854560,1.545408
1.180000,0.841913,1.925810
1.190000,0.829136,1.313740
1.200000,0.816229,1.608151
1.210000,0.803193,1.582186
1.220000,0.790029,1.706192
1.230000,0.776738,1.822909
1.240000,0.763319,1.976353
1.250000,0.749773,1.696539
1.260000,0.736102,1.884855
1.270000,0.722305,1.852447
1.280000,0.708385,1.865317
1.290000,0.694340,1.717901
1.300000,0.680173,1.665983
1.310000,0.665884,1.666205
1.320000,0.651475,1.736849
1.330000,0.636945,1.923478
1.340000,0.622296,2.008937
1.350000,0.607529,1.955611
1.360000,0.592645,1.833349
1.370000,0.577645,2.221207
1.380000,0.562530,2.191151
1.390000,0.547302,1.910187
1.400000,0.531962,1.850946
1.410000,0.516510,2.016529
1.420000,0.500948,2.210928
1.430000,0.485278,2.077583
1.440000,0.469501,2.127188
1.450000,0.453618,2.019680
1.460000,0.437631,2.139175
1.470000,0.421541,2.324859
1.480000,0.405349,2.056152
1.490000,0.389058,2.129893
1.500000,0.372669,2.160335
1.510000,0.356184,2.177812
1.520000,0.339604,1.922234
1.530000,0.322931,1.861007
1.540000,0.306166,2.008605
1.550000,0.289313,2.208206
1.560000,0.272371,2.280809
1.570000,0.255345,2.120672
1.580000,0.238234,2.433439
1.590000,0.221042,2.203883
1.600000,0.203771,2.240327
1.610000,0.186422,2.216782
1.620000,0.168997,2.278719
1.630000,0.151500,2.378728
1.640000,0.133931,2.382138
1.650000,0.116294,2.144113
1.660000,0.098590,2.536084
1.670000,0.080823,2.130762
1.680000,0.062994,2.324878
1.690000,0.045105,2.277134
1.700000,0.027160,2.162543
1.710000,0.009161,2.324121
1.720000,-0.008890,2.226171
1.730000,-0.026990,2.361842
1.740000,-0.045137,2.420762
1.750000,-0.063326,2.596176
1.760000,-0.081557,2.418157
1.770000,-0.099826,2.278720
1.780000,-0.118131,2.318942
1.790000,-0.136467,2.408184
1.800000,-0.154833,2.405705
1.810000,-0.173226,2.626270
1.820000,-0.191642,2.620356
1.830000,-0.210079,2.346901
1.840000,-0.228533,2.320504
1.850000,-0.247001,2.006220
1.860000,-0.265481,2.326680
1.870000,-0.283968,2.261444
1.880000,-0.302460,2.362270
1.890000,-0.320953,2.482237
1.900000,-0.339445,2.449951
1.910000,-0.357930,2.418471
1.920000,-0.376408,2.455700
1.930000,-0.394873,2.404793
1.940000,-0.413322,2.456132
1.950000,-0.431752,1.914006
1.960000,-0.450159,2.381854
1.970000,-0.468540,2.406108
1.980000,-0.486890,2.368527
1.990000,-0.505207,2.386522
2.000000,-0.523487,2.530327
2.010000,-0.541725,2.322341
2.020000,-0.559918,2.762299
2.030000,-0.578063,2.520234
2.040000,-0.596155,2.407115
2.050000,-0.614190,2.371782
2.060000,-0.632165,2.386759
2.070000,-0.650075,2.251335
2.080000,-0.667917,2.376256
2.090000,-0.685687,2.430258
2.100000,-0.703381,2.472346
2.110000,-0.720994,2.466518
2.120000,-0.738522,2.325179
2.130000,-0.755962,2.138148
2.140000,-0.773308,2.249294
2.150000,-0.790558,2.602665
2.160000,-0.807707,2.481729
