time,input,output
0.000000,-1.500000,-0.171653
0.010000,-1.500000,0.157507
0.020000,-1.500000,0.043997
0.030000,-1.500000,-0.239840
0.040000,-1.500000,-0.094453
0.050000,-1.500000,0.256490
0.060000,-1.500000,-0.390333
0.070000,-1.500000,-0.076832
0.080000,-1.500000,0.188420
0.090000,-1.500000,-0.151863
0.100000,-1.500000,-0.125586
0.110000,-1.500000,-0.036989
0.120000,-1.500000,0.209684
0.130000,-1.500000,-0.131593
0.140000,-1.500000,-0.105558
0.150000,-1.500000,-0.109151
0.160000,-1.500000,0.302870
0.170000,-1.500000,0.294072
0.180000,-1.500000,0.100974
0.190000,-1.500000,-0.003132
0.200000,-1.500000,0.045668
0.210000,-1.500000,0.157744
0.220000,-1.500000,-0.233280
0.230000,-1.500000,0.092947
0.240000,-1.500000,-0.299184
0.250000,1.500000,-0.209900
0.260000,1.500000,0.026553
0.270000,1.500000,-0.350130
0.280000,1.500000,-0.153301
0.290000,1.500000,-0.273886
0.300000,1.500000,-0.184086
0.310000,1.500000,-0.591766
0.320000,1.500000,-0.434543
0.330000,1.500000,-0.269839
0.340000,1.500000,-0.016845
0.350000,1.500000,-0.194832
0.360000,1.500000,-0.170394
0.370000,1.500000,-0.065074
0.380000,1.500000,-0.315592
0.390000,1.500000,-0.133901
0.400000,1.500000,-0.307898
0.410000,1.500000,-0.455133
0.420000,1.500000,-0.244774
0.430000,1.500000,-0.092845
0.440000,1.500000,-0.130243
0.450000,1.500000,-0.185462
0.460000,1.500000,0.195251
0.470000,1.500000,-0.116764
0.480000,1.500000,-0.025952
0.490000,1.500000,0.174907
0.500000,-1.500000,-0.381606
0.510000,-1.500000,-0.339506
0.520000,-1.500000,0.101810
0.530000,-1.500000,-0.299083
0.540000,-1.500000,-0.167572
0.550000,-1.500000,-0.002920
0.560000,-1.500000,-0.031248
0.570000,-1.500000,0.104948
0.580000,-1.500000,0.063163
0.590000,-1.500000,-0.005379
0.600000,-1.500000,-0.298133
0.610000,-1.500000,-0.052115
0.620000,-1.500000,-0.130280
0.630000,-1.500000,-0.392188
0.640000,-1.500000,0.038756
0.650000,-1.500000,-0.060886
0.660000,-1.500000,-0.184842
0.670000,-1.500000,-0.232729
0.680000,-1.500000,-0.389504
0.690000,-1.500000,-0.172972
0.700000,-1.500000,-0.135253
0.710000,-1.500000,-0.345852
0.720000,-1.500000,-0.036100
0.730000,-1.500000,-0.399079
0.740000,-1.500000,-0.567327
0.750000,1.500000,-0.073458
0.760000,1.500000,-0.307526
0.770000,1.500000,-0.269125
0.780000,1.500000,-0.386630
0.790000,1.500000,-0.512702
0.800000,1.500000,-0.064440
0.810000,1.500000,-0.375532
0.820000,1.500000,-0.007264
0.830000,1.500000,-0.145083
0.840000,1.500000,-0.324919
0.850000,1.500000,-0.448850
0.860000,1.500000,-0.394551
0.870000,1.500000,-0.471626
0.880000,1.500000,0.049332
0.890000,1.500000,-0.255022
0.900000,1.500000,-0.099107
0.910000,1.500000,-0.480904
0.920000,1.500000,-0.251044
0.930000,1.500000,-0.092186
0.940000,1.500000,-0.329756
0.950000,1.500000,-0.111729
0.960000,1.500000,-0.443838
0.970000,1.500000,-0.485146
0.980000,1.500000,-0.206405
0.990000,1.500000,-0.322803
1.000000,-1.500000,-0.157542
1.010000,-1.500000,-0.568255
1.020000,-1.500000,-0.139744
1.030000,-1.500000,0.161251
1.040000,-1.500000,-0.251055
1.050000,-1.500000,-0.239715
1.060000,-1.500000,-0.215041
1.070000,-1.500000,-0.536515
1.080000,-1.500000,-0.173772
1.090000,-1.500000,-0.494386
1.100000,-1.500000,-0.307922
1.110000,-1.500000,-0.043889
1.120000,-1.500000,-0.357104
1.130000,-1.500000,-0.162399
1.140000,-1.500000,-0.082666
1.150000,-1.500000,-0.200203
1.160000,-1.500000,-0.462860
1.170000,-1.500000,-0.300816
1.180000,-1.500000,0.059078
1.190000,-1.500000,-0.573733
1.200000,-1.500000,-0.300290
1.210000,-1.500000,-0.347443
1.220000,-1.500000,-0.244837
1.230000,-1.500000,-0.149725
1.240000,-1.500000,-0.018085
1.250000,-1.500000,-0.319894
1.260000,-1.500000,-0.153756
1.270000,-1.500000,-0.208521
1.280000,-1.500000,-0.218177
1.290000,-1.500000,-0.388281
1.300000,-1.500000,-0.463044
1.310000,-1.500000,-0.485815
1.320000,-1.500000,-0.438306
1.330000,-1.500000,-0.274947
1.340000,-1.500000,-0.212886
1.350000,-1.500000,-0.289731
1.360000,-1.500000,-0.435625
1.370000,-1.500000,-0.071505
1.380000,-1.500000,-0.125400
1.390000,-1.500000,-0.430295
1.400000,-1.500000,-0.513554
1.410000,-1.500000,-0.372067
1.420000,-1.500000,-0.201837
1.430000,-1.500000,-0.359416
1.440000,-1.500000,-0.334103
1.450000,-1.500000,-0.465956
1.460000,-1.500000,-0.370850
1.470000,-1.500000,-0.209593
1.480000,-1.500000,-0.502759
1.490000,-1.500000,-0.453501
1.500000,-1.500000,-0.447561
1.510000,-1.500000,-0.454597
1.520000,-1.500000,-0.734692
1.530000,-1.500000,-0.820434
1.540000,-1.500000,-0.697343
1.550000,-1.500000,-0.522234
1.560000,-1.500000,-0.474101
1.570000,-1.500000,-0.658680
1.580000,-1.500000,-0.370321
1.590000,-1.500000,-0.624244
1.600000,-1.500000,-0.612120
