time,input,output
0.000000,0.758510,-0.171653
0.010000,0.749194,0.157788
0.020000,0.738874,0.045117
0.030000,0.727554,-0.237330
0.040000,0.715237,-0.090010
0.050000,0.701929,0.263401
0.060000,0.687642,-0.380425
0.070000,0.672385,-0.063408
0.080000,0.656172,0.205872
0.090000,0.639021,-0.129881
0.100000,0.620949,-0.098579
0.110000,0.601977,-0.004471
0.120000,0.582129,0.248189
0.130000,0.561428,-0.086635
0.140000,0.539903,-0.053689
0.150000,0.517583,-0.049924
0.160000,0.494500,0.369893
0.170000,0.470686,0.369320
0.180000,0.446177,0.184863
0.190000,0.421011,0.089807
0.200000,0.395226,0.148052
0.210000,0.368862,0.269962
0.220000,0.341963,-0.110854
0.230000,0.314572,0.225946
0.240000,0.286733,-0.155257
0.250000,0.258494,-0.054827
0.260000,0.229902,0.192483
0.270000,0.201007,-0.173762
0.280000,0.171857,0.033081
0.290000,0.142504,-0.077919
0.300000,0.113000,0.021032
0.310000,0.083396,-0.377937
0.320000,0.053747,-0.212445
0.330000,0.024105,-0.039920
0.340000,-0.005476,0.220441
0.350000,-0.034941,0.049365
0.360000,-0.064236,0.080252
0.370000,-0.093307,0.191555
0.380000,-0.122100,-0.053450
0.390000,-0.150560,0.133281
0.400000,-0.178634,-0.036155
0.410000,-0.206269,-0.179310
0.420000,-0.233412,0.034644
0.430000,-0.260010,0.189681
0.440000,-0.286013,0.154899
0.450000,-0.311369,0.101801
0.460000,-0.336031,0.484140
0.470000,-0.359948,0.173252
0.480000,-0.383076,0.264690
0.490000,-0.405366,0.465671
0.500000,-0.426776,-0.091098
0.510000,-0.447263,-0.049139
0.520000,-0.466785,0.392271
0.530000,-0.485302,-0.008300
0.540000,-0.502778,0.123754
0.550000,-0.519176,0.289163
0.560000,-0.534464,0.261802
0.570000,-0.548607,0.399169
0.580000,-0.561579,0.358752
0.590000,-0.573350,0.291773
0.600000,-0.583896,0.000769
0.610000,-0.593193,0.248723
0.620000,-0.601222,0.172673
0.630000,-0.607964,-0.086942
0.640000,-0.613403,0.346468
0.650000,-0.617527,0.249462
0.660000,-0.620325,0.128311
0.670000,-0.621789,0.083394
0.680000,-0.621912,-0.070248
0.690000,-0.620694,0.149580
0.700000,-0.618132,0.190755
0.710000,-0.614230,-0.016228
0.720000,-0.608993,0.297298
0.730000,-0.602427,-0.061747
0.740000,-0.594545,-0.225903
0.750000,-0.585357,0.272092
0.760000,-0.574881,0.041688
0.770000,-0.563133,0.083172
0.780000,-0.550134,-0.031823
0.790000,-0.535907,-0.155950
0.800000,-0.520478,0.293697
0.810000,-0.503874,-0.016558
0.820000,-0.486125,0.352005
0.830000,-0.467264,0.213949
0.840000,-0.447326,0.033351
0.850000,-0.426346,-0.091855
0.860000,-0.404364,-0.039336
0.870000,-0.381421,-0.118687
0.880000,-0.357560,0.399509
0.890000,-0.332824,0.091919
0.900000,-0.307261,0.244131
0.910000,-0.280917,-0.141822
0.920000,-0.253844,0.083438
0.930000,-0.226091,0.237262
0.940000,-0.197712,-0.005765
0.950000,-0.168759,0.206395
0.960000,-0.139287,-0.131983
0.970000,-0.109353,-0.179948
0.980000,-0.079012,0.091757
0.990000,-0.048322,-0.032043
1.000000,-0.017342,0.125584
1.010000,0.013870,-0.292484
1.020000,0.045255,0.129079
1.030000,0.076753,0.423541
1.040000,0.108304,0.005120
1.050000,0.139849,0.010768
1.060000,0.171329,0.030178
1.070000,0.202682,-0.296126
1.080000,0.233851,0.062227
1.090000,0.264775,-0.262335
1.100000,0.295397,-0.079371
1.110000,0.325659,0.181615
1.120000,0.355504,-0.134192
1.130000,0.384875,0.058382
1.140000,0.413717,0.136448
1.150000,0.441977,0.017713
1.160000,0.469600,-0.245672
1.170000,0.496537,-0.083881
1.180000,0.522735,0.276239
1.190000,0.548148,-0.355868
1.200000,0.572726,-0.081237
1.210000,0.596426,-0.126717
1.220000,0.619203,-0.021952
1.230000,0.641016,0.075807
1.240000,0.661824,0.210584
1.250000,0.681591,-0.087597
1.260000,0.700280,0.082658
1.270000,0.717857,0.032503
1.280000,0.734292,0.027949
1.290000,0.749555,-0.136563
1.300000,0.763621,-0.205242
1.310000,0.776463,-0.221441
1.320000,0.788062,-0.166872
1.330000,0.798396,0.004034
1.340000,0.807451,0.074127
1.350000,0.815211,0.005795
1.360000,0.821664,-0.131106
1.370000,0.826802,0.242481
1.380000,0.830617,0.198528
1.390000,0.833107,-0.095957
1.400000,0.834269,-0.168342
1.410000,0.834106,-0.015521
1.420000,0.832620,0.166499
1.430000,0.829818,0.021160
1.440000,0.825709,0.059158
1.450000,0.820305,-0.059571
1.460000,0.813620,0.049091
1.470000,0.805670,0.224330
1.480000,0.796473,-0.054434
1.490000,0.786051,0.009638
1.500000,0.774428,0.030798
1.510000,0.761629,0.039378
1.520000,0.747682,-0.224711
1.530000,0.732617,-0.294066
1.540000,0.716466,-0.154215
